sale_date,maker_id,maker_name,type,city_maker,auction_house,sale_date.1,lot,usd,gbp,eur,bold_currency,Year,Month,Day,cpi_usd,cpi_gbp,cpi_eur,gbp_usd_x,eur_usd,price_usd_real,SP500_real,SP500_30d_ret,SP500_90d_ret,SP500_252d_ret,SP500_vol_30d,SP500_vol_90d,SP500_vol_252d,SP500_ma50,SP500_ma200,SP500_trend_ratio,gbp_usd_y,gbp_90d_change,gbp_vol_30d,10y_yield_pc,10y_yield_90d_change,MCI,real_price_gold,country_iso1,admin1_name,admin2_name,candidate_count,is_ambiguous,maker_name_maker,role,date,maker_last_name,birth_cent,location_filled
2022-12-01,654,"Schaeffer, Christophe",Violin Bow,Paris,Vichy-Enchères,2022-12-01,184,3578.0,2912.0,3652.4892134085626,eur,2022,12,1,0.912513989153026,0.9206465833945628,0.9308720166834016,1.2267,1.0524,3843.8796481911713,4467.405559604792,0.1077351047698904,0.0378378168126145,-0.1514799616426854,0.2594939156265095,0.2491694598944139,0.242082680155028,4158.118078085709,4482.535307997769,0.9276263972013266,1.2267,0.0185154433742942,0.0128238533702166,3.53,0.0084999999999999,-6.637328052895183,1975.7396,FR,Île-de-France,Paris,,False,"Schaeffer, Christophe",Bow maker,,Schaeffer,,True
1990-06-13,647,"Sartory, Eugène Nicolas",Violin Bow,Paris,Christie's,1990-06-13,260,5633.0,8136.413043478259,,gbp,1990,6,13,0.3993826325433817,0.405584129316679,,1.7085,,13901.061684782606,913.6601448407956,0.0923510464767025,0.0865548167697867,0.0765133617703024,0.1199311001231894,0.1168760652036986,0.1375219955736515,876.2900720738241,877.939750641442,0.998120966084048,1.7085,0.0154531946508171,0.0045314055023281,8.4,-0.0011999999999999,-1.5611974897826886,884.6153,FR,Île-de-France,Paris,59.0,True,"Sartory, Eugène Nicolas",Bow maker,1871-1946,Sartory,19.0,False
2010-06-14,41,"Barbieri, Bruno",Violin,Mantua,Brompton's,2010-06-14,119,5317.0,5431.929046563193,4341.0,gbp,2010,6,14,0.6701419207260831,0.662747979426892,0.7210164516876496,1.4788,1.2216,8032.736674057649,1625.9690241467415,-0.0816051206870539,-0.0125482365810586,0.1395694533057816,0.3125169600436124,0.2112323067529909,0.1878009121357327,1707.4892330452876,1661.7963411102037,1.0274960840896772,1.4788,-0.0739557893418498,0.0096247207353419,3.28,-0.0034,0.3312138087015419,1822.226,IT,Lombardy,Provincia di Mantova,,False,"Barbieri, Bruno",Violin maker,1922-1989,Barbieri,20.0,True
1986-11-12,30,"Bailly, Paul",Violin,Paris,Sotheby's,1986-11-12,162,4237.0,8965.877641989064,,gbp,1986,11,12,0.3394291195749757,0.3312559147685525,,1.4278,,12801.480097231984,726.6318213902349,0.0548655272033886,0.0125806156251999,0.2354759548311584,0.0871071902267045,0.1508678546752907,0.1438296934424637,703.9723373428953,705.4985393247543,0.9978367042640234,1.4278,-0.0701400195376099,0.0052820257151759,7.35,0.0004,0.6939174403880622,1192.1812,FR,Île-de-France,Paris,59.0,True,"Bailly, Paul",Violin maker,1844-1907,Bailly,19.0,False
1994-11-01,1599,Silvestre & Maucotel,Violin Bow,Paris,Sotheby's,1994-11-01,161,1877.0,2400.5368098159506,,gbp,1994,11,1,0.4602585072497632,0.4790595150624541,,1.6347,,3924.1575230061344,1017.7324395951736,0.0088944033681848,0.0458460416538586,-0.0260936639763766,0.1088143917759872,0.0934605557119348,0.0959398828024867,1015.27430818458,1011.3977128690706,1.0038329089201838,1.6347,0.0515921518173045,0.0036294900063807,7.91,0.0065,-3.449780766398922,834.7483,FR,Île-de-France,Paris,59.0,True,Silvestre & Maucotel,Violin maker,,Silvestre & Maucotel,,False
2018-10-29,6107,"Feiler, Walter Richard",Viola,Bad Brambach,Tarisio,2018-10-29,31,2307.0,2295.9700093720708,2026.0,gbp,2018,10,29,0.7775048270264286,0.7839823659074211,0.8085270719085503,1.2806,1.1373,2940.219194001874,3397.085018882101,-0.0873055519748791,-0.0428649246443304,-0.0018618501600343,0.1879253227744505,0.1287847249792014,0.1404466976092717,3673.447514566507,3582.206126545017,1.0254707252453643,1.2806,-0.0351115129596142,0.0044955319892596,3.08,0.0020999999999999,-2.1694233635343,1581.1477,DE,Saxony,,2.0,True,"Feiler, Walter Richard",,1906-1989,Feiler,20.0,False
1992-03-20,1427,"Guado, Lorenzo Frassino",Violin,Cremona,Sotheby's,1992-03-20,247,1689.0,2205.2209492635025,,gbp,1992,3,20,0.42828330033328,0.4489346069066863,,1.7007,,3750.419268412439,960.34561112447,-0.0110841756309012,0.0349793004983445,0.0846949744297234,0.099918849734018,0.130992381310853,0.1274982566106107,966.6283011868696,929.4764959525552,1.0399706774685464,1.7007,-0.0418591549295773,0.0063994871299897,7.64,0.0030999999999999,0.6103502049978942,789.6642,IT,Lombardy,Provincia di Cremona,5.0,True,"Guado, Lorenzo Frassino",Violin maker,,Guado,,False
1992-11-19,971,"Wolff, Brothers",Small Violin,Kreuznach,Phillip's,1992-11-19,364,438.0,622.7936,,gbp,1992,11,19,0.4365845559750593,0.4592211609110948,,1.5325,,954.431192,970.2816546166648,0.0374331123712501,0.004879467398406,0.0816204772045106,0.0869230871689238,0.0923212002220865,0.1049945454133152,956.1451645798252,957.3630576035504,0.9987278671199472,1.5325,-0.2048461578373891,0.0092030704576754,6.81,-0.0006,-1.4110864271987509,767.3199,DE,Rheinland-Pfalz,,,False,"Wolff, Brothers",,1879-1900,Wolff,19.0,True
1999-11-12,978,"Hoyer, Carl Adolf",Violin Bow,Markneukirchen,Tarisio,1999-11-12,OB 8,1700.6640522875814,546.0,854.0,usd,1999,11,12,0.5174449350042429,0.535635562086701,0.5759635436780721,1.6139,1.0315,1700.6640522875814,2697.987677823734,0.0876361175834457,-0.0083418875737556,0.2171454827306873,0.2098567014562614,0.1858018487663444,0.1876185766659112,2554.4915326765185,2575.796230208094,0.9917288886124916,1.6139,0.0361453518233176,0.003621937302259,5.93,0.0008999999999999,-0.7557869814618763,561.9922,DE,Saxony,,,False,"Hoyer, Carl Adolf",Bow maker,,Hoyer,,True
2004-11-03,234,"Guadagnini, Giovanni Battista",Cello,Parma,Christie's,2004-11-03,115*,629436.0,593156.1302681994,493520.0,gbp,2004,11,3,0.5872369731777206,0.5753122703894195,0.6441646713524369,1.8479,1.2821,1096093.2131226056,1946.743824704475,0.0207047822305161,0.0018255909952518,0.0427519975311427,0.107126285105116,0.1081946174049248,0.1111211469906519,1909.54080659862,1928.645207324172,0.9900943933840176,1.8479,0.0222382032416883,0.004168069622216,4.09,-0.0053,2.3535947474981787,727.3895,IT,Emilia-Romagna,Provincia di Parma,29.0,True,"Guadagnini, Giovanni Battista",Violin maker,1711-1786,Guadagnini,18.0,False
2021-03-26,1603,"Thomachot, Stephane",Viola Bow,Paris,Tarisio,2021-03-26,15,23576.37091933237,13928.0,16285.0,usd,2021,3,26,0.8143747002324352,0.8060249816311537,0.8228160963929868,1.3792,1.1794,23576.37091933237,4880.480739306003,0.0077125854861643,0.0891582893553211,0.4726127365310963,0.1618171348169792,0.1405545120851548,0.2163610951756739,4782.585696512208,4406.470324849075,1.0853552489715257,1.3792,0.0401206636500752,0.0047226746825783,1.67,0.0084,-0.3104582047374515,2126.7439,FR,Île-de-France,Paris,,False,"Thomachot, Stephane",Bow maker,,Thomachot,,True
2002-06-06,19,"Apparut, Georges",Violin,Mirecourt,Tarisio,2002-06-06,OV 69,2847.536964980545,1079.0,1678.0,usd,2002,6,6,0.553109588872628,0.5569434239529757,0.6139646250096548,1.4588,0.9475,2847.536964980545,1860.6620552569352,-0.0590611058036905,-0.1058442864372091,-0.1905172909703532,0.2188788954790518,0.1922626143815156,0.1878714805827871,1977.978468841846,2030.9227789539425,0.9739309093084444,1.4588,0.0255184534270649,0.0031318041413349,5.04,-0.0003,1.0263264538606374,587.7678,FR,Grand Est,Vosges,2.0,True,"Apparut, Georges",Violin maker,1877-1948,Apparut,19.0,False
1987-11-12,1275,"Horil, Jacob",Violin,Rome,Sotheby's,1987-11-12,116,8120.0,13393.90014783131,,gbp,1987,11,12,0.3548018152079003,0.3449331373989713,,1.768,,23680.41546136576,700.4473867385309,-0.2414240699943395,-0.2050526684450638,-0.0216762587054476,0.7921810623645559,0.4733776172549226,0.3102798784111583,815.6552450708909,849.8028179333426,0.9598170632741652,1.768,0.0920321185917232,0.0069288242563871,8.8,0.0043,-8.516448964326036,1305.2075,IT,Lazio,Città metropolitana di Roma Capitale,33.0,True,"Horil, Jacob",Violin maker,1720-1760,Horil,18.0,False
2013-12-20,944,"Rau, August",Violin Bow,Markneukirchen,Dorotheum,2013-12-20,41,3243.0,1983.0,3076.450725362681,eur,2013,12,20,0.7165182689114902,0.7288758265980897,0.7719935120105044,1.6356,1.3673,4206.4310767883935,2537.7160990624725,0.0408241805380706,0.0827050362161847,0.2408603390942476,0.0949945453404719,0.1068828265936503,0.1121134246888346,2474.838222935526,2329.004812958832,1.0626161909006206,1.6356,0.0513595166163141,0.00331273842136,2.89,0.0005,2.4729014425440363,1678.4499,DE,Saxony,,,False,"Rau, August",Bow maker,1866-1951,Rau,19.0,True
2002-09-01,1163,"Wilson, Garner",Violin Bow,Bury St. Edmunds,Bonhams,2002-09-01,188,1246.0,1441.5855263157894,1267.0,gbp,2002,9,1,0.5564915819118714,0.5584129316678913,0.6152776705028191,1.547,0.9821,2230.132809210526,1648.8854566807795,0.0770017925250672,-0.1661567699077166,-0.2405902750290898,0.3936533460487768,0.3054625267446914,0.2385641653427658,1654.502615729067,1937.1007655267456,0.8541128294269021,1.547,0.0671173346209559,0.0060643808903441,4.14,-0.0094,-2.642877747453701,562.4862,GB,England,Suffolk,,False,"Wilson, Garner",Bow maker,1944-2013,Wilson,20.0,True
2004-03-31,1530,"Didier, Paul",Violin,Metz,Christie's,2004-03-31,111,1978.0,1892.7231565329885,1618.0,gbp,2004,3,31,0.576168632322015,0.567964731814842,0.6358229705723333,1.8379,1.2313,3478.63588939198,1954.65337361176,-0.0284954045018963,0.0636410865465506,0.2866638899843492,0.1292966238827977,0.1161425677545703,0.1367299592999284,1976.8495045651352,1860.294995369383,1.0626537777534626,1.8379,0.0783266838770242,0.0084161117517244,3.86,-0.0039,1.25638243558057,739.8008,FR,Grand Est,Moselle,,False,"Didier, Paul",Violin maker,b. 1908,Didier,20.0,True
2010-04-25,628,"Roth, Ernst Heinrich",Viola Bow,Markneukirchen,Skinner,2010-04-25,67,1238.293648427359,540.0,624.0,usd,2010,4,25,0.6702772004476528,0.6605437178545188,0.720166834015602,1.5353,1.3383,1238.293648427359,1816.0844923322763,0.0564485934973979,0.0898109462315295,0.3976098177187723,0.0880257267494783,0.1300231776929762,0.173935564370714,1726.343107060367,1627.2923945869202,1.060868417257361,1.5353,-0.0540940176206025,0.0061387502379742,3.84,0.0029,1.8674188751124992,1726.0023,DE,Saxony,Regierungsbezirk Mittelfranken,,False,"Roth, Ernst Heinrich",Bow maker / Violin maker,1877-1948,Roth,19.0,True
2020-11-13,699,"Soffritti, Ettore",Violin,Ferrara,Tarisio,2020-11-13,170,88490.68166883785,53799.0,59914.0,usd,2020,11,13,0.8000842423720683,0.8016164584864071,0.8094539275507839,1.3159,1.1836,88490.68166883785,4480.965518974094,0.0713532094986533,0.1324723591142989,0.1443181813857561,0.2125897846757571,0.1842845995055753,0.3433355976678435,4254.566347622516,3946.475492224945,1.0780673428745595,1.3159,0.0431232659532303,0.0061780486576682,0.89,0.0024,0.2255707563747568,2359.8013,IT,Emilia-Romagna,Provincia di Ferrara,9.0,True,"Soffritti, Ettore",Violin maker,1877-1928,Soffritti,19.0,False
2011-06-09,175,"Fétique, Victor François",Viola Bow,Paris,Vichy-Enchères,2011-06-09,395,18110.0,11055.0,16731.590781103347,eur,2011,6,9,0.6939911207310024,0.6869948567229979,0.7406348961149302,1.6366,1.4504,24267.49926891229,1857.37246701695,-0.0526089527379118,-0.0221770817923834,0.1452497071277827,0.1198699083378944,0.1303431124051434,0.1444427732896801,1917.8727290615143,1839.7658765610724,1.0424547783473628,1.6366,0.0267896354852876,0.0052589192095533,3.01,-0.0057,2.2097528878323804,2222.4348,FR,Île-de-France,Paris,,False,"Fétique, Victor François",Bow maker,1872-1933,Fétique,19.0,True
1989-06-15,1162,Gand & Bernardel Firm,Violin,Paris,Sotheby's,1989-06-15,107,13372.0,23483.921568627447,,gbp,1989,6,15,0.3815503056091892,0.3747244673034534,,1.5115,,35495.94745098039,838.8932779420028,0.0361702353189199,0.0594242399824815,0.1281714672118872,0.1164702537714022,0.12030027065108,0.1250514191006863,822.4540375340689,772.2600745533118,1.064996190577106,1.5115,-0.1325681492109037,0.0090192911041177,8.33,-0.008,4.973565225120585,959.9363,FR,Île-de-France,Paris,59.0,True,Gand & Bernardel Firm,Violin maker,1866-1892,Gand & Bernardel Firm,19.0,False
2023-06-01,2275,"Blanchi, Augustin",Violin,,,2023-06-01,,4792.0,3828.0,4681.685540704739,eur,2023,6,1,0.9380695583731996,0.9507714915503308,0.9535027419479416,1.2524,1.076,5037.493641798299,4499.687663728629,0.0101925186423079,0.0296150979617249,-0.0213910179772707,0.1373099483611496,0.1459453434374647,0.2097779752384087,4409.700564821288,4314.124529639013,1.022154213334744,1.2524,0.0133505947083096,0.004365735102843,3.61,0.0011999999999999,6.20497654653437,2108.4525,,,,,False,"Blanchi, Augustin",Violin maker,1828-1899,Blanchi,19.0,False
2018-10-29,647,"Sartory, Eugène Nicolas",Violin Bow,Paris,Tarisio,2018-10-29,123,24603.0,24490.346766635423,21610.0,gbp,2018,10,29,0.7775048270264286,0.7839823659074211,0.8085270719085503,1.2806,1.1373,31362.33806935332,3397.085018882101,-0.0873055519748791,-0.0428649246443304,-0.0018618501600343,0.1879253227744505,0.1287847249792014,0.1404466976092717,3673.447514566507,3582.206126545017,1.0254707252453643,1.2806,-0.0351115129596142,0.0044955319892596,3.08,0.0020999999999999,-2.1694233635343,1581.1477,FR,Île-de-France,Paris,,False,"Sartory, Eugène Nicolas",Bow maker,1871-1946,Sartory,19.0,True
2008-03-11,2828,"Wunderlich, Gustav",Violin Bow,Leipzig,Brompton's,2008-03-11,1010,1202.0,961.8374558303886,782.0,gbp,2008,3,11,0.6565001906214258,0.6238060249816312,0.7018614350814861,2.0037,1.533,1927.2337102473496,2011.6521568165424,-0.0357843519118004,-0.1559555511130039,-0.0970551134919331,0.2234206360777604,0.2295438418871219,0.1835984262973621,2096.0095786602355,2272.4609007984063,0.9223523176675223,2.0037,-0.0374693759907769,0.0050468102699454,3.6,-0.0077999999999999,-1.25362719773958,1482.1016,DE,Saxony,,3.0,True,"Wunderlich, Gustav",Bow maker,1872-1937,Wunderlich,19.0,False
2021-06-02,1769,"Delprato, François Joseph",Violin,Mirecourt,Vichy-Enchères,2021-06-02,11,1816.0,1282.0,1788.7777158774372,eur,2021,6,2,0.8353399825366178,0.8185157972079354,0.8318529389047656,1.4165,1.2211,2184.2764688579387,5037.613672470219,0.0003103551534568,0.0546668525019906,0.2960340384043931,0.1319806616741284,0.142664137517205,0.1710110018657627,5011.477257350961,4638.90158817327,1.080315493246841,1.4165,0.0324344023323615,0.00382701130442,1.59,0.0055,0.8394672612070361,2284.0329,FR,Grand Est,Vosges,2.0,True,"Delprato, François Joseph",Violin maker,1876-1947,Delprato,19.0,False
2000-11-14,1172,"Lotte, Georges",Violin,Mirecourt,Sotheby's,2000-11-14,145,987.0,1269.0405405405406,1150.0,gbp,2000,11,14,0.5352772619384354,0.5437178545187362,0.5905615200432532,1.4284,0.8582,1812.697508108108,2583.6142304339733,-0.0310589524296595,-0.0697987925329278,-0.0585829233014302,0.2488930539079803,0.1782304270042862,0.2093215921743925,2654.4941183602,2721.317103562503,0.9754446164635412,1.4284,-0.0563519852018234,0.0058935789626854,5.76,-0.0029999999999999,-1.2688559706343354,493.9496,FR,Grand Est,Vosges,2.0,True,"Lotte, Georges",,1856-1896,Lotte,19.0,False
2007-05-11,852,Laberte-Humbert Frères Firm,Violin,Mirecourt,Tarisio,2007-05-11,238,4496.773247286595,1450.0,2132.0,usd,2007,5,11,0.6393473368342085,0.612049963262307,0.6830153703560671,1.9825,1.3521,4496.773247286595,2355.2924816146137,0.0453515413839817,0.0303337217418875,0.1085092052322549,0.0887391855740484,0.1140116602126413,0.1081458314242063,2280.2156887471306,2222.7517824595857,1.0258525971010397,1.9825,0.0049168694241685,0.0033859907476823,4.67,0.0001999999999999,2.6028012095942152,1048.4129,FR,Grand Est,Vosges,2.0,True,Laberte-Humbert Frères Firm,Violin maker,1876-1969,Laberte-Humbert Frères Firm,19.0,False
1995-10-31,854,"Pfretzschner, Hermann Richard",Violin Bow,Markneukirchen,Sotheby's,1995-10-31,89,3636.0,4665.126676602086,,gbp,1995,10,31,0.4725566637561029,0.4930198383541513,,1.5809,,7375.098763040238,1230.540260247235,-0.0078597812385666,0.0495715266699967,0.2090999680984038,0.0761401630887631,0.0755717973365093,0.0808567777230855,1224.6902915746657,1138.3362600846774,1.0758598619036914,1.5809,-0.0018940589683692,0.0037186949863918,6.03,-0.0012,4.381722648667788,809.2151,DE,Saxony,,2.0,True,"Pfretzschner, Hermann Richard",Bow maker,1857-1921,Pfretzschner,19.0,False
1988-03-31,647,"Sartory, Eugène Nicolas",Violin Bow,Paris,Sotheby's,1988-03-31,343,4150.0,6343.644067796609,,gbp,1988,3,31,0.3581838082471437,0.3468038207200588,,1.8845,,11954.59724576271,722.7853651882712,-0.0005083360649352,0.0596923949359657,-0.1470710441056876,0.1530248043393814,0.2482406489446166,0.3328155458865767,729.2345511544129,788.8726617604204,0.9244008399620272,1.8845,0.0516183035714286,0.006843564337766,8.57,-0.0047499999999999,0.9247635411763562,1267.0897,FR,Île-de-France,Paris,59.0,True,"Sartory, Eugène Nicolas",Bow maker,1871-1946,Sartory,19.0,False
2008-03-11,870,"Voigt, August Albin",Violin,,Brompton's,2008-03-11,1115,721.0,577.1024734982332,469.0,gbp,2008,3,11,0.6565001906214258,0.6238060249816312,0.7018614350814861,2.0037,1.533,1156.3402261484098,2011.6521568165424,-0.0357843519118004,-0.1559555511130039,-0.0970551134919331,0.2234206360777604,0.2295438418871219,0.1835984262973621,2096.0095786602355,2272.4609007984063,0.9223523176675223,2.0037,-0.0374693759907769,0.0050468102699454,3.6,-0.0077999999999999,-1.25362719773958,1482.1016,,,,,False,"Voigt, August Albin",,1845-1918,Voigt,19.0,False
2001-11-12,1027,"Miremont, Claude Augustin",Violin,Paris,Phillip's,2001-11-12,121,11048.0,13809.87983978638,12387.0,gbp,2001,11,12,0.5454232410561657,0.550330639235856,0.6025334054221055,1.4575,0.8939,20127.89986648865,2050.3892608043925,0.0786395493609959,-0.0835260680638684,-0.2336723518992883,0.1886790881915352,0.2168696910536817,0.2271121692773655,1970.8153615287413,2189.360054567265,0.9001787336977246,1.4575,0.0358919687277896,0.0052167921449776,4.375,-0.00995,2.1617109312157936,509.6959,FR,Île-de-France,Paris,59.0,True,"Miremont, Claude Augustin",Violin maker,1827-1887,Miremont,19.0,False
2009-03-10,155,"Deconet, Michele",Violin,Venice,Sotheby's,2009-03-10,92,29410.0,33128.57961053838,23007.0,gbp,2009,3,10,0.6539821430767527,0.6414401175606171,0.7062639993820963,1.3843,1.2674,45859.89275486828,1100.3358168167654,-0.1461537571679553,-0.2209843823114846,-0.432709521774691,0.4281510921662487,0.4941345073626397,0.4341199196469406,1260.779103028185,1588.708182762727,0.7935875931826067,1.3843,-0.14880403369612,0.0118664801578502,2.99,-0.0081999999999999,-0.5560425085110154,1369.7622,IT,Veneto,Provincia di Venezia,,False,"Deconet, Michele",Violin maker,c. 1712-1799,Deconet,18.0,True
1991-01-24,1626,"Hill & Sons, W. E. Firm",Cello Bow,London,Phillip's,1991-01-24,152,992.0,1208.1859649122807,,gbp,1991,1,24,0.4138329664383308,0.4188096987509184,,1.9665,,2375.8977,808.9737307798208,0.0194529444316524,0.0386578014091154,-0.0282384143869988,0.1750995423632007,0.1834013745192629,0.1609002786975983,784.6683324973269,821.1906058490699,0.9555252177854848,1.9665,0.0317418677859391,0.0073894089580188,8.0,-0.0091,3.03356742699708,900.4841,GB,England,Greater London,34.0,True,"Hill & Sons, W. E. Firm",Bow maker / Violin maker,1880-1992,Hill & Sons,19.0,False
2020-12-03,505,"Ouchard, Émile-Auguste",Violin Bow,Paris,Vichy-Enchères,2020-12-03,278,12063.0,8963.0,12214.383262006657,eur,2020,12,3,0.8008375044580817,0.8038207200587804,0.8121572565072991,1.3497,1.2145,14834.36847170708,4578.6067089657045,0.0669321092098473,0.1332795302361462,0.1621358826900514,0.1954642745592156,0.1836090268411272,0.3439808543626911,4342.668377335855,3966.756910275127,1.094765440777831,1.3497,0.0409532623785284,0.0053491842919768,0.92,0.0037,0.0228140748071873,2298.0442,FR,Île-de-France,Paris,59.0,True,"Ouchard, Émile-Auguste",Bow maker,1900-1969,Ouchard,19.0,False
2024-12-05,1094,"Perrin, Étienne",Violin,Mirecourt,,2024-12-05,,881.0,692.0,852.0579390695111,eur,2024,12,5,0.9703399210458352,0.9926524614254224,0.981153935274581,1.2757,1.0585,901.9033285050776,6260.805859387377,0.0480947803722677,0.1137085381134268,0.2928288188492731,0.1182425039404353,0.1432881117101978,0.1229302952380999,6046.543954422983,5665.6458458602265,1.0672294243102172,1.2757,-0.0067735907816879,0.0050974179224434,4.17,0.0017999999999999,0.1799459588764327,2712.5031,FR,Grand Est,Vosges,2.0,True,"Perrin, Étienne",Violin maker,,Perrin,,False
1984-11-22,809,"Vuillaume, Jean-Baptiste",Violin,Paris,Sotheby's,1984-11-22,19,24299.0,65262.64243009001,,gbp,1984,11,22,0.3237489700293925,0.3033894930198383,,1.229,,80207.78754658063,508.14059575819,0.0148047244923095,0.0673003774986915,-0.0530392563436636,0.1212513932118969,0.134203518106141,0.1245847994604117,512.7771944847124,498.38334044455786,1.0288810898600969,1.2245,-0.074242080592727,0.0085467387407624,11.39,-0.0192999999999999,1.1722237583898665,1056.2196,FR,Île-de-France,Paris,59.0,True,"Vuillaume, Jean-Baptiste",Bow maker / Violin maker,1798-1875,Vuillaume,18.0,False
1999-11-16,1331,"Ficker, Johann Gottlob",Violin,Markneukirchen,Sotheby's,1999-11-16,240,2231.0,2576.378600823045,2158.0,gbp,1999,11,16,0.5174449350042429,0.535635562086701,0.5759635436780721,1.6181,1.0309,4168.838213991769,2744.388533395188,0.0905799361602195,0.0053388628077399,0.218262401121932,0.2104743645883957,0.1879980300303236,0.1881688160759217,2558.36901962121,2577.93086247977,0.992411804698384,1.6181,0.0399768622662124,0.0037253453767661,5.97,0.0025999999999999,-0.7930550130425364,568.1764,DE,Saxony,,2.0,True,"Ficker, Johann Gottlob",Violin maker,1744-1832,Ficker,18.0,False
1988-06-16,1231,"Hawkes, Hawkes & Sons",Violin,London,Phillip's,1988-06-16,19,1156.0,1826.902489626556,,gbp,1988,6,16,0.3627956169370211,0.3541513592946363,,1.7877,,3265.9535807053944,743.5866819209729,0.0319102961045956,0.0646230823788891,-0.1511591861780696,0.1784929398156318,0.1743581963759029,0.3328938973616063,724.4685085867047,740.8126910676491,0.9779374966465688,1.7877,0.0189227700199487,0.0057705908378521,8.89,0.0073,-0.4739515808129811,1239.4885,GB,England,Greater London,34.0,True,"Hawkes, Hawkes & Sons",–,,Hawkes,,False
